name,value
新興能源產值,18
醫療器材產值,10
半導體產值,0
汽機車產值,-1
顯示器產值,-1
電子材料產值,-2
製造業產值,-3
特化產值,-8
通訊產值,-8
機械產值,-8
石化產值,-23
